Image|Logo|Name|Nickname|Citát|Music|Race|Focus|Origin|God|Age|Status|Title|Position|Description|
Daniel-Kravke|Absorber|Daniel Kravke||None|None|Human|Warlock|Jazierchat|Umbriana|31|Živý|Hed|Lovec študent - Skupina 740~7|Daniel Kravke verí, že každé svetlo vrhá tieň a každý tieň môže byť nebezpečný. Tieň sám o sebe svetlo nevytvorí, iba prehlbuje tmu. No Daniel pochopil, že aj z temného miesta môže človek priniesť svetlo, ak má dosť vôle nenechať sa tou tmou pohltiť. <br><br> Práve preto sa stal Absorbérom. Z temnej esencie nečerpá silu preto, aby šíril strach, ale aby prežil, zosilnel a obrátil ju na niečo užitočné. Tam, kde iní vidia len nebezpečenstvo, Daniel hľadá spôsob, ako ho zadržať, skrotiť a premeniť. <br><br> Jeho cesta nie je čistá ani jednoduchá, no je úprimná. Daniel berie tieň ako palivo a mení ho na plameň nádeje. Nie preto, že by tma bola dobrá, ale preto, že aj z nej sa dá vyrvať sila pre dobrú vec. |
Krištof-Ausdemtal|Popravca|Krištof Ausdemtal||None|None|Human|FighterRanger|Jazierchat|Revion|28|Živý|Hed|Lovec študent - Skupina 740~7|Krištof Aus Tiefental pochádza z rodu, ktorý sa podobne ako Von Hohenbergovia snaží napraviť starú hanbu a získať späť postavenie, ktoré mu kedysi patrilo. Práve preto je zvláštne, že si tieto dva rody takmer vôbec nerozumejú. Majú podobný cieľ, podobné bremeno a podobnú tvrdohlavosť, no možno práve preto medzi nimi vzniká viac napätia než pochopenia. <br><br> Krištof je najmladší lovec svojej línie a stále verí, že meno Aus Tiefental sa dá pozdvihnúť čestne. Neženie ho iba pýcha rodu, ale aj ľudia, ktorí naňho čakajú doma — žena, tri deti, diplomatická sestra Draxlia, otec a matka. Pre nich nie je lov iba osobnou cestou, ale záväzkom. <br><br> Na rozdiel od mnohých lovcov nebojuje ako človek, ktorý nemá čo stratiť. Krištof má veľa čo stratiť, a práve preto berie každý krok vážne. Chce svojmu rodu priniesť lepšiu budúcnosť, no zároveň sa vždy musí vrátiť domov ako muž, otec, brat a syn. |
Wolfgang-Sumrak|Krotiteľ|Wolfgang Sumrak||None|None|Genasi|Barbarian|Severana|Decon|32|Živý|Hed|Lovec študent - Skupina 740~7|Wolfgang Sumrak je gentleman s elegantným vystupovaním, uhladeným prejavom a pokojom človeka, ktorý vie presne, akú váhu má každé slovo. Na prvý pohľad nepôsobí ako niekto, kto by patril medzi divokých barbarov. Skôr ako vzdelaný muž, ktorý sa vie správať pri stole, v salóne aj pred šľachtou. <br><br> To platí len dovtedy, kým sa boj nerozhodí do skutočného chaosu. V zápale boja sa jeho telo mení, šaty sa trhajú pod náporom sily a z uhladeného gentlemana sa stáva besniaca hrozba. Wolfgang je to, čomu sa hovorí znalý hromotĺk — muž, ktorý vie myslieť, hovoriť aj pôsobiť na úrovni, no keď treba, holými rukami ohne oceľ. <br><br> Práve tento kontrast z neho robí takú pútavú postavu. Väčšina barbarov s podobnou silou vystačí s krátkymi slovami a dlhým revom. Wolfgang však dokáže najprv pokojne vysvetliť situáciu, a o chvíľu nato stáť uprostred bojiska s vlasmi plápolajúcimi ako modrý oheň. |
George-Hviezda|Ochranca|George Hviezda||None|Song of George Hviezda|Gnome|Bard|Lesohaj|Beau|82|Živý|Hed|Lovec študent - Skupina 740~7|George Hviezda je halfling bard, ktorý dokáže rozžiariť krčmu skôr, než stihne dopiť prvý pohár. Neprišiel z veľkého rodu, nenosí žiarivú zbroj a nepotrebuje vznešeného koňa. Stačí mu úsmev, lutna a istota, že ak je svet príliš vysoký, naučí sa lietať vlastným spôsobom. <br><br> Jeho sila nie je v meči, ale v piesni, vtipe a drzom šarme. George dokáže hrať miestnosť ako nástroj — rozosmiať dav, upokojiť hnev, vyprovokovať šľachtica a potom ho prinútiť spievať refrén. Hovorí sa, že by vedel očariť aj draka skôr, než by vzlietol, a pri jeho povesti tomu veľa ľudí verí. <br><br> Kde sa objaví George Hviezda, tam prichádza hluk, radosť a trochu problémov. Niektorí naňho hundrú, iní ho preklínajú, no aj tí si neskôr pospevujú jeho melódiu. George žije pre hudbu, hrá pre život a každú noc má pocit, že svetu ešte dlží jednu lepšiu pieseň. |
Krasko-Horenik|Znalec|Krasko Horenik||None|None|Human|Druid|Jazierchat|Gocian|28|Živý|Hed|Lovec študent - Skupina 740~7|Krasko Horenik sa narodil v meste, no jeho život sa zmenil počas obyčajného prechodu lesom v bezpečnom období. Jeho rodinu napadlo monštrum, rodičia zahynuli a Krasko by pravdepodobne zomrel tiež, keby nezasiahli divosi z lesného klanu. Monštrum odohnali a chlapca sa ujali. <br><br> Vyrastal medzi klanmi, učil sa ich zvykom, spôsobu prežitia a rešpektu k lesu. Keď dorástol, vrátil sa späť do mesta, kde ho čakal strýko. Krasko sa dokázal znovu prispôsobiť spoločnosti, no na klan, ktorý ho zachránil a vychoval, nikdy nezabudol. <br><br> Dnes spája tradície divokých klanov s moderným mestským prístupom. Nie je prvý, kto prišiel z klanu do mesta, ale je jedným z mála, ktorí najprv patrili mestu, potom vyrástli v klane, a nakoniec sa naučili patriť obom svetom naraz. |
Helena-Sajkl|Popravca|Helena Sajkl||None|Helena of the Blooming Blade|Half-Elf|Paladin|Chladohrad|Tamyda|35|Živá|Hed|Lovec študent - Skupina 740~8|Helena Sajkl pôsobí na prvý pohľad ako obraz klasického paladina — vznešená, čestná, oddaná viere a pripravená stáť medzi slabými a nebezpečenstvom. Jej vzhľad však vie klamať. Helena síce skutočne verí, no jej cieľ nie je taký svätý, ako by sa pri paladinovi čakalo. <br><br> Jej viera sa upiera k Tamyde, sexu vášne a násilia, a pri tomto mene začne jej povaha dávať väčší zmysel. Helena nie je falošná ani nečestná. Naopak, je cnostná natoľko, že môže niesť otcov meč Úsvit. Dá sa na ňu spoľahnúť, dodrží slovo a pomôže, keď je pomoc potrebná. <br><br> Len jej spôsob pomoci býva o niečo tvrdší. Helena radšej zrazí hrozbu k zemi, než by len držala štít pred ranou. Je paladin, ktorý chráni tým, že útočí ako prvý. |
Amanda-Okercera|Absorber|Amanda Okercera||None|None|Human (Demigod)|Barbarian|Juhiera|Oker|28|Živá|Hed|Lovec študent - Skupina 740~8|Amanda Okercera je dcéra Okera, no jej božský dar nepôsobí ako požehnanie. Kým iní polobohovia získajú silu, krásu, múdrosť alebo kožu pevnú ako oceľ, Amanda dostala ruku s vlastným rozumom. Ruku, ktorá ju nie vždy počúva. <br><br> Práve preto sa stala lovkyňou. Nie preto, že by túžila po sláve, ale preto, že sa potrebovala naučiť ovládať časť vlastného tela skôr, než začne ovládať ona ju. Dnes je Amanda obojručná, no nie vždy úplne podľa vlastnej vôle. Niekedy jej ruka pomôže skôr, než stihne zareagovať. Inokedy jej pokazí plán, rozhovor alebo celý boj. <br><br> Jej zvláštny dar je nebezpečný aj užitočný zároveň. Amanda napríklad nemôže jednoducho odpadnúť ako ostatní — ak jej myseľ povolí, ruka preberie kontrolu a bojuje ďalej. Je to prekliatie, ochrana aj pripomienka, že nie každý dar od boha sa dá nosiť s hrdosťou. Niekedy ho treba najprv skrotiť. |
Ervart-Goldschmied|Absorber|Ervart Goldschmied||None|Ervarth - Laugh at the Abyss|Human|Warlock|Jazierchat|Javan|29|Živý|Hed|Lovec študent - Skupina 740~8|Ervart Goldschmied pochádza zo šľachtického rodu, ktorý bol viac meno než skutočná moc. Narodil sa medzi zvyškami bohatstva, rodovými erbmi a prázdnymi stenami, kde sa o minulosti hovorilo hlasnejšie než o budúcnosti. V krvi má zlato, no v rukách skôr prach. <br><br> Napriek tomu z neho nevyrástol zlomený dedič. Ervart nosí šľachtický úsmev, panský kabát a v očiach iskru niekoho, kto sa rozhodol, že rozpad nemusí byť koniec. Tam, kde by iných hanba rodu alebo chudobná vznešenosť zatlačila k zemi, on si z nej spravil masku, zbraň a dôvod smiať sa ešte hlasnejšie. <br><br> Jeho moc je temná, no nie poddajná. Ervart pracuje s tieňmi, s kliatbou a silou, ktorú sotva drží úplne pod kontrolou. Nehrá sa na čistého hrdinu v bielom a zlate. Skôr patrí medzi tých, ktorí bojujú s temnotou zvnútra, vlastnými prasklinami a prekliatou iskrou v duši. <br><br> Keď sa priepasť pozerá na neho, neuhne pohľadom ale smeje sa jej. Práve tým je nebezpečný, nebojí sa, nemá strach ako, ako majú ostatný. Lebo on z temných miest dokáže vytiahnuť svetlo, z hanby výzvu a z pádu ďalší krok dopredu. <br><br> Ervart Goldschmied je šľachtic bez pevného zázemia, rebel s gentlemanským úklonom a muž, ktorý si nesie vlastnú kliatbu ako horiacu pochodeň. Svet je rozbitý, temnota hladná a on sa aj tak usmieva, akoby práve začínala najlepšia časť života. |
Dytria-Grats|Popravca|Dytria Grats||None|The Lion's Daughter|Human|Barbarian|Jazierchat|Javan|29|Živá|Hed|Lovec študent - Skupina 740~8|Dytria Grats je najstaršia vnučka Boralda Gratsa a najstaršia dcéra z poslednej generácie rodu Gratsovcov. Ako jediná zo svojich súrodencov a sesterníc ešte zažila starého otca osobne — a práve on jej vzal detstvo skôr, než vôbec pochopila, čo znamená bojovať.  Krátko po tom, čo sa naučila chodiť a udržať predmet v ruke, jej Borald vložil do ruky dýku a hodil ju do arény s pripraveným levom. Dytria tam takmer zomrela. Prežila len zázrakom, zranená a zjazvená, no živá. Boraldov synovia o tom nevedeli, a keď sa pravda ukázala, rodinné vzťahy sa hlboko narušili.  Od toho dňa už Dytria nebola dieťaťom. Stala sa ďalším nástrojom v Boraldovej posadnutej vízii rodu lovcov príšer. Trofej z leva nosí dodnes na pleci — kožu, srsť a pozostatky tvora, ktorého ako dieťa prežila. Hovorí sa, že v tej srsti stále zostala zvláštna pevnosť a antimagická sila, ktorú Dytria dokáže využiť v boji.  Dytria je tichá, zatrpknutá a odťažitá žena. Nehovorí viac, než musí, a keď už prehovorí, zvyčajne je to o boji, love alebo prežití. So svojím otcom takmer nekomunikuje. Najbližší jej bol Gregor, ktorý ju ako dieťa dokázal aspoň trochu pochopiť, no ten je dnes preč. S Ľudvikom si rozumie iba čiastočne a najbližšie má možno k sesterniciam Ľudmile a Grethe, hoci aj pred nimi si drží odstup.  Dytria pôsobí ako žena, ktorá nikdy nedostala možnosť byť dieťaťom. Je tvrdá, strohá a nebezpečne sústredená. Nie preto, že by nemala city, ale preto, že ju naučili, že city v aréne neprežijú. |
Vilo-Rozsipal|Absorber|Vilo Rozsipal||None|None|Human|Wizard|Jazierchat|Haset|30|Živý|Hed|Lovec študent - Skupina 740~8|Vilo Rozsipal je celý otec — aspoň na pohľad. V tvári, mene aj prvom dojme v ňom ľudia často vidia Viliama, no stačí pár viet a rozdiel je jasný. Kde by Viliam prišiel s tvrdým rozkazom alebo rozumným plánom, Vilo radšej prihodí vtip, úsmev a spôsob, ako napätie trochu zmäkčiť. <br><br> Nie je bojovník rovnakého druhu ako jeho otec. Kým Viliam stál pevne vpredu s mečom v ruke a ohňom v očiach, Vilo sa radšej drží ďalej od najhoršieho nárazu a tým vpredu úprimne popraje šťastie. Kým Viliam hromadil majetok ako dôkaz moci, Vilo ho míňa na vzácne predmety, zvláštnosti a veci, ktoré majú príbeh. <br><br> Práve preto si Vilo získava to, čo jeho otec často strácal. Kde si Viliam tvrdosťou a aroganciou vyrábal nepriateľov, Vilo si otvorenosťou a ľahším prístupom buduje známosti, kontakty a verných priateľov. Je kópiou otca len navonok — vo vnútri je to úplne iný človek. |
Bristila-Harfa|Znalec|Bristila Harfa||None|None|Half-Elf|Wizard|Sostrov|Zael|24|Živá|Hed|Lovec študent - Skupina 745~0|O tejto postave sa toho veľa nevie|
Ľudmila-Grats|Ochranca|Ľudmila Grats||None|None|Human|Fighter|Jazierchat|Zael|23|Živá|Hed|Lovec študent - Skupina 745~0|O tejto postave sa toho veľa nevie|
Lynda-Grookova|Popravca|Lynda Grookova||Žiadne zľutovanie a obzvlášť nie pre silných!|To Hades and Back|Human|Fighter|Severana|Oker|24|Živá|Hed|Lovec študent - Skupina 745~0|O tejto postave sa toho veľa nevie|
Melisa-Svetlíková|Absorber|Melisa Svetlíková||None|None|Human|Blood Hunter|Pieskostan|Zariana|23|Živá|Hed|Lovec študent - Skupina 745~0|O tejto postave sa toho veľa nevie|
Stela-Rifs|Krotiteľ|Stela Rifs||None|None|Aasimar|Ranger|Jazierchat|Dybok|26|Živá|Hed|Lovec študent - Skupina 745~0|O tejto postave sa toho veľa nevie|
Ilibor-Kravke|Krotiteľ|Ilibor Kravke||None|None|Human|Blood Hunter|Jazierchat|Eira|27|Živý|Hed|Lovec študent - Skupina 745~1|O tejto postave sa toho veľa nevie|
Janet-Majakova|Znalec|Janet Majakova||None|None|Human|Sorcerer|Juhiera|Zael|25|Živá|Hed|Lovec študent - Skupina 745~1|O tejto postave sa toho veľa nevie|
Kwandu-Malrik|Popravca|Kwandu Malrik||None|None|Human|Warlock|Sostrov|Hellia|23|Živý|Hed|Lovec študent - Skupina 745~1|O tejto postave sa toho veľa nevie|
Želmíra-TmavoKrvá|Ochranca|Želmíra TmavoKrvá||None|None|Human|Monk|Pieskostan|Syrvaad|26|Živá|Hed|Lovec študent - Skupina 745~1|O tejto postave sa toho veľa nevie|
Roderick-Plamenný|Absorber|Roderick Plamenný||None|Hellfire Absolver|Tiefling|Sorcerer|Tmavohmla|Thelvus|28|Živý|Hed|Lovec študent - Skupina 745~1|Roderick prišiel o rodičov tak skoro, že si ich nestihol ani uložiť do pamäti. Ujal sa ho rod Elinuranovcov spolu s ďalšími mladými tieflingmi, v ktorých sa možno ukrývala démonická krv a magický potenciál. Práve tam Roderick prvýkrát zistil, že má v žilách moc, a začal na sebe tvrdo pracovať. <br><br> Keď sa ukázalo, že Thadesus nedokáže naplniť očakávania rodu, Elinuranovci začali naplno cvičiť Tieflinov, ktorý mali záujem. Roderick medzi nimi exceloval. Mal dar, disciplínu a hlad po uznaní. Lenže potom mladý Murez s knihou dokázal viac než Roderick so všetkou svojou snahou, a rod zrazu prestal potrebovať náhradu. <br><br> Roderick preto odišiel. Ak nemohol ako Elinuran loviť démonov, bude ako Roderick loviť všetky monštrá. Dal sa zapísať medzi lovcov a začal absorbovať všetko, čo po boji zostalo. Jeho koža sa časom zmenila z jemne červenej na čiernu popraskanú a niekedy úplne plamennú a meno Roderick Tmavohmlač nahradilo nové, Roderick Plamenný. Nie ako dar rodu, ale ako meno, ktoré si vypálil sám. |Priatel rodu Elinuran (Zoriho rodiny – Zori ho spozná)
Ivgar-Kugon|Absorber|Ivgar Kugon||None|None|Orc|Blood Hunter|Ogramište|Bland|17|Živý|Hed|Lovec študent - Skupina 745~2|O tejto postave sa toho veľa nevie|
Anmada-Una'Lari|Popravca|Anmada Una'Lari||None|None|Elf|Fighter|Lesohaj|Virwraek|128|Živá|Hed|Lovec študent - Skupina 745~2|O tejto postave sa toho veľa nevie|
Balwok-Wardan|Krotiteľ|Balwok Wardan||None|None|Dwarf|Barbarian|Vyskyna|Makrak|75|Živý|Hed|Lovec študent - Skupina 745~2|O tejto postave sa toho veľa nevie|
Bastian-Konar|Ochranca|Bastian Konar Rytier||None|Bastian - Light That Endures|Human|Paladin|Zaskyna|Vallor|25|Živý|Hed|Lovec študent - Skupina 745~2|O tejto postave sa toho veľa nevie|
Violet-Martin|Znalec|Violet Martin||None|None|Aasimar|Wizard|Chladohrad|Thelvus|26|Živá|Hed|Lovec študent - Skupina 745~2|O tejto postave sa toho veľa nevie|
Bielko-Hularo|Absorber|Bielko Hularo||None|Bielkos Lucky Claws|Tabaxi|Rogue|Pieskostan|Javan|27|Živý|Hed|Lovec študent - Skupina 745~3|O tejto postave sa toho veľa nevie|
Camile-Redeson|Znalec|Camile Redeson||None|None|Human|Wizard|Juhiera|Odizan|26|Živá|Hed|Lovec študent - Skupina 745~3|O tejto postave sa toho veľa nevie|
Enu'Ana'Lia-Ounogou|Krotiteľ|Enu'Ana'Lia Ounogou||None|None|Half-Elf|Sorcerer|Stromoraj|Ralogolor|32|Živá|Hed|Lovec študent - Skupina 745~3|O tejto postave sa toho veľa nevie|
Radovan-Rybník|Ochranca|Radovan Rybník||None|None|Human|Blood Hunter|Pieskostan|Davian|28|Živý|Hed|Lovec študent - Skupina 745~3|O tejto postave sa toho veľa nevie|
Razag|Popravca|Razag||None|None|Lizardfolk|Barbarian|Ruiny Temnoty|empty|24|Živý|Hed|Lovec študent - Skupina 745~3|O tejto postave sa toho veľa nevie|
Iveth-Asmaliova|Ochranca|Iveth Asmaliova||None|None|Half-Elf|Fighter|Lesohaj|Elavalur |25|Živá|Hed|Lovec študent - Skupina 745~4|O tejto postave sa toho veľa nevie|
Ogscar-Rogba|Popravca|Ogscar Rogba||None|None|Orc|Paladin|Ogramište|Tiny|18|Živý|Hed|Lovec študent - Skupina 745~4|O tejto postave sa toho veľa nevie|
Roman-Romulus|Absorber|Roman Romulus||None|None|Human|Fighter|Severana|Oker|24|Živý|Hed|Lovec študent - Skupina 745~4|O tejto postave sa toho veľa nevie|
Sindarin-El'Nari|Krotiteľ|Sindarin El'Nari||None|None|Elf|Sorcerer|Chladohrad|Zylhana|128|Živá|Hed|Lovec študent - Skupina 745~4|O tejto postave sa toho veľa nevie|
Zilou-Yund|Znalec|Zilou Yund||None|None|Genasi|Wizard|Chladohrad|empty|26|Živý|Hed|Lovec študent - Skupina 745~4|O tejto postave sa toho veľa nevie|
Chris'tana-Hof’Goria|Popravca|Chris'tana Hof’Goria||None|None|Elf|Ranger|Juhiera|Zylhana|130|Živá|Hed|Lovec študent - Skupina 745~5|O tejto postave sa toho veľa nevie|
Franze-Ogram|Krotiteľ|Franze Ogram||None|None|Half-Orc|Monk|Granulia|Beau|23|Živý|Hed|Lovec študent - Skupina 745~5|O tejto postave sa toho veľa nevie|
Piter-Heinricht|Absorber|Piter Heinricht||None|None|Human|Fighter|Granulia|Eirich|24|Živý|Hed|Lovec študent - Skupina 745~5|O tejto postave sa toho veľa nevie|
Urbar-Heinricht|Ochranca|Urbar Heinricht||None|None|Human|Fighter|Granulia|Eirich|56|Živý|Hed|Lovec študent - Skupina 745~5|O tejto postave sa toho veľa nevie|
Zasmal-Zink|Znalec|Zasmal Zink||None|None|Gnome|Artificier|Granulia|Tharnid|59|Živý|Hed|Lovec študent - Skupina 745~5|O tejto postave sa toho veľa nevie|
Claire-Erldikt|Znalec|Claire Erldikt||None|None|Half-Elf|Wizard|Pieskostan|Zurro|29|Živá|Hed|Lovec študent - Skupina 745~6|O tejto postave sa toho veľa nevie|
Kaerth-Lanua|Ochranca|Kaerth Lanua||None|None|Tiefling|Bard|Tmavohmla|Mirlo|24|Živý|Hed|Lovec študent - Skupina 745~6|O tejto postave sa toho veľa nevie|
Lana-Pecova|Absorber|Lana Pecova||None|None|Genasi|Druid|Stromoraj|Glacien|26|Živá|Hed|Lovec študent - Skupina 745~6|O tejto postave sa toho veľa nevie|
Volia-Xazit|Krotiteľ|Volia Xazit||None|None|Human|Sorcerer|Skalodom|Ghad|27|Živá|Hed|Lovec študent - Skupina 745~6|O tejto postave sa toho veľa nevie|
Garfolso-Ala'nuiara-Zelený|Popravca|Garfolso Ala'nuiara Zelený||None|None|Tabaxi|Fighter|Juhiera|Elavalur|25|Živý|Hed|Lovec študent - Skupina 745~6|O tejto postave sa toho veľa nevie|
Ladislav-Bor|Popravca|Ladislav Bör Ursidae||None|None|Human|Fighter|Jazierchat|Errasa|24|Živý|Hed|Lovec študent - Skupina 745~7|O tejto postave sa toho veľa nevie|
Privana-Ryzo|Absorber|Privana Ryzo||None|None|Halken|Blood Hunter|Juhiera|Ursox|23|Živá|Hed|Lovec študent - Skupina 745~7|O tejto postave sa toho veľa nevie|
Quill-Meadow|Znalec|Quill Meadow||None|None|Half-Elf|Wizard|Lesohaj|Mirlo|28|Živá|Hed|Lovec študent - Skupina 745~7|O tejto postave sa toho veľa nevie|
Tatiana-Rokhen|Krotiteľ|Tatiana Rokhen||None|None|Aasimar|Sorcerer|Severana|Zael|29|Živá|Hed|Lovec študent - Skupina 745~7|O tejto postave sa toho veľa nevie|
Zuzalia-Biela|Ochranca|Zuzalia Biela||None|None|Aasimar|Paladin|Pieskostan|Hellia|28|Živá|Hed|Lovec študent - Skupina 745~7|O tejto postave sa toho veľa nevie|
Kulkumak-Hularo|Znalec|Kulkumak Hularo||None|Midnight Mix of Kulkumak|Tabaxi|Artificier|Pieskostan|Rundrur|27|Živý|Hed|Lovec študent - Skupina 745~8|O tejto postave sa toho veľa nevie|
Maghol|Absorber|Maghol||None|None|Tortle|Fighter|Sostrov|Hunkuka|24|Živý|Hed|Lovec študent - Skupina 745~8|O tejto postave sa toho veľa nevie|
Pieta-Lensen|Ochranca|Pieta Lensen||None|None|Human|Barbarian|Ogramište|Rarex|24|Živá|Hed|Lovec študent - Skupina 745~8|O tejto postave sa toho veľa nevie|
Trinta-Golhes|Krotiteľ|Trinta Golhes||None|None|Half-Elf|Artificier|Granulia|Mirantra|28|Živá|Hed|Lovec študent - Skupina 745~8|O tejto postave sa toho veľa nevie|
Vayla-Rosa|Popravca|Vayla Rosa||None|None|Human|Ranger|Jazierchat|Revion|25|Živá|Hed|Lovec študent - Skupina 745~8|O tejto postave sa toho veľa nevie|
Juraj-Arachnit|Absorber|Juraj Arachnit||None|None|Human|Rogue|Jazierchat|Melou|27|Živý|Hed|Lovec študent - Skupina 745~9|O tejto postave sa toho veľa nevie|
Gretha-Grats|Krotiteľ|Gretha Grats||None|None|Human|Cleric|Jazierchat|Saci|24|Živá|Hed|Lovec študent - Skupina 745~9|O tejto postave sa toho veľa nevie|
Kranga-Guroles|Popravca|Kranga Guroles||None|None|Orc|Blood Hunter|Ogramište|Grenava|20|Živá|Hed|Lovec študent - Skupina 745~9|O tejto postave sa toho veľa nevie|
Majk|Ochranca|Majk||None|None|Goliath|Druid|Lesy Života|Uaqaeht|23|Živý|Hed|Lovec študent - Skupina 745~9|O tejto postave sa toho veľa nevie|
Sofia-Klarueox|Znalec|Sofia Klarueox||None|None|Half-Elf|Sorcerer|Jazierchat|Geles|28|Živá|Hed|Lovec študent - Skupina 745~9|O tejto postave sa toho veľa nevie|
Dajana_Abrea_00|Lesy|Dajana Abrea||None|None|Genasi|Fighter|???|Vacan|???|Živá|None|None|Dajana Abrea žije v lesoch, hoci sa v nich nenarodila. Nenašla tam slávu ani bohatstvo, ale útočisko, miesto, kde mohla zmiznúť z ciest, miest a očí ľudí, ktorí od nej niečo čakali. Les ju neprijal jemne, no naučil ju prežiť. <br><br> Nie je klasická lovkyňa príšer ani lovkyňa odmien. Loví v malom, potichu ale presne. Bola trénovaná ako stráž než lovec monštier, no život medzi stromami jej dal vlastnú školu: čítať stopy, počúvať ticho, strieľať skôr, než sa hrozba priblíži. <br><br> Dajana pôsobí pokojne, no nie nevinne. S lukom v rukách a lesom za chrbtom je bytosťou, ktorú si nepriateľ často všimne až vtedy, keď je neskoro. Nie je legenda z hál akadémie lovcov, je tieň medzi stromami, ktorý drží svoje územie. |
Seliena_Selphis|Kult|Seliena Selphis||None|None|Yuan-ti|Druid|???|???|???|Živá|None|None|Seliena Selphis je kultistka, ktorá vyznáva príšery a obzvlášť hady. Nie je to len obdiv, jej vlastná krv je s nimi spojená. <br><br> O Seliene sa vie málo. Je nebezpečná, tichá a príliš oddaná veciam, ktorým by sa rozumný človek radšej vyhol. A možno práve to stačí vedieť. |
Friedrich Von Hohenberg|Znalec|Friedrich Von Hohenberg||None|None|Human|Wizard/Blood Hunter|Jazierchat|Davian|32|Mŕtvy|Hed|Lovec Skupina 595|Friedrich Von Hohenberg patril k najbohatším členom svojho rodu. Mnohí verili, že práve on môže dosiahnuť viac než jeho predkovia. Finančne sa mu to skutočne podarilo — mal talent, majetok a prístup k mágii, o akom mohli iní lovci iba snívať. Friedrich bol zvláštnou kombináciou lovca a mága. Spájal schopnosti Blood Huntera s učenosťou Wizarda a svoju výbavu dopĺňal množstvom magických predmetov. Tam, kde iní dôverovali svalom alebo oceľovej zbrani, Friedrich veril mágii, príprave a správnemu nástroju na správny problém. <br><br> Práve táto závislosť od mágie sa mu stala osudnou. Počas jedného lovu sa dostal do antimagickej zóny, kde veľká časť jeho schopností aj výbavy stratila význam. Friedrich tam zahynul, ďaleko od veľkých očakávaní, ktoré doňho rod vkladal. <br><br> Po jeho smrti zostalo množstvo magických predmetov, prototypov a vzácností vytvorených alebo zakúpených vďaka jeho talentu a bohatstvu. Rovnako ako väčšina jeho majetku sa však časom roztrúsili po svete. <br><br> Dodnes sa preto občas objaví predmet s menom Friedricha Von Hohenberga, pripomienka muža, ktorý nahromadil veľké bohatstvo a moc, no zomrel na mieste, kde mu ani jedno nedokázalo pomôcť. |
Aaron Von Hohenberg|Absorber|Aaron Von Hohenberg||None|None|Human|Fighter|Jazierchat|Drercur|30|Mŕtvy|Hed|Lovec Skupina 615|Aaron Von Hohenberg stál medzi dvoma úplne odlišnými pohľadmi na mágiu. Bol synom Friedricha, ktorý na nej postavil takmer celý svoj bojový štýl, a otcom Gregora, ktorý ju neskôr otvorene zavrhol. Aaron však veril, že pravda je niekde medzi tým. Ako Eldritch Knight videl v mágii obrovský potenciál, no nechcel zopakovať chybu svojho otca. Kúzla preto používal najmä na podporu vlastného tela, výdrže a bojových schopností. Posilňoval sa, chránil pred živlami a vytváral magické štíty, ale nikdy nechcel byť človekom, ktorý bez mágie nevie bojovať. <br><br> Dlho sa zdalo, že našiel správnu rovnováhu. Bol schopný bojovník, ktorý vedel spojiť oceľ a kúzla bez toho, aby sa stal závislým od jedného či druhého. Ani to ho však nezachránilo. <br><br> Aaron padol pri magickej explózii, ktorej tlaku nedokázala odolať ani jeho posilnená zbroj. Krátko nato už jeho syn Gregor stál v rade na akadémiu s nenávisťou v očiach a úplným opovrhnutím voči mágii. <br><br> Aaron Von Hohenberg tak zostal v rodovej histórii ako muž, ktorý sa snažil medzi oceľou a mágiou nájsť rovnováhu. Jeho smrť však presvedčila ďalšiu generáciu, že možno žiadna rovnováha neexistuje. |
